Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Altitude (meters),Vertical accuracy (degrees),Horizontal accuracy (degrees),Course (degrees),Difcourse: course variation (degrees),Boolean of system activated (1 if >50km/h),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),X: car position relative to lane center (meters),Phi: car angle relative to lane curvature (degrees),W: road width (meters),"State of the lane det. algorithm [-1=calibrating, 0=initializing, 1=undetected, 2=detected/running]",Distance to ahead vehicle in current lane (meters) [value -1 means no car is detected in front],Time of impact to ahead vehicle (seconds) [distance related to own speed],Number of detected vehicles in this frame (traffic),GPS speed (km/h) [same as in RAW GPS],Maximum allowed speed of current road (km/h),"Reliability of obtained maxspeed (0=unknown, 1=reliable, 2=used previously obtained maxspeed,3=estimated by type of road)","Type of road (1, trunk, secondary...)",Number of lanes in current road,"Estimated current lane (1=right lane, 2=first left lane, 3=second left lane, etc) [experimental]",GPS Latitude used to query OSM (degrees),GPS Longitude used to query OSM (degrees),OSM delay to answer query (seconds),GPS speed (km/h) [same as in RAW GPS]],Behavior
59.73,90.5,40.504673,-3.365981,610.2,3,5,238.7,4.219,1,0.011,0.041,-0.017,-0.022,0.029,-0.01,-1.573,0.019,-1.005,-0.152,0.052,2.831,2,20.35,0.81,3,90.5,120,1,1,3,1,40.504902,-3.365472,1.538,90.5,2
60.73,91.2,40.504555,-3.366239,610.3,3,5,238,2.812,1,0.018,-0.025,-0.028,0.011,-0.013,-0.008,-1.565,0.017,-1.019,0,0.036,2.895,2,19.18,0.76,3,91.2,120,1,1,3,1,40.504673,-3.365981,1.404,91,2
61.77,91,40.504436,-3.366489,610.5,3,5,238,0.703,1,0.049,0.052,-0.009,0.028,0.037,-0.014,-1.548,0.029,-1.025,0.03,0.039,2.849,2,17.93,0.71,3,91,120,1,1,3,1,40.504673,-3.365981,1.404,91,2
62.7,90.6,40.504318,-3.36674,610,3,5,237.3,0.703,1,-0.044,0.02,-0.004,-0.017,0.015,-0.014,-1.538,0.025,-1.038,0,0.022,2.884,2,17.34,0.69,2,90.6,120,1,1,3,1,40.504436,-3.366489,1.532,89.6,2
63.74,89.6,40.504192,-3.366992,609.9,3,5,237,1.055,1,-0.001,0.027,-0.007,0.001,0.002,-0.025,-1.535,0.029,-1.046,-0.242,-0.009,2.857,2,15.54,0.62,2,89.6,120,1,1,3,1,40.504436,-3.366489,1.532,89.6,2
64.72,88.7,40.504074,-3.36724,609.6,3,5,237.3,0.352,1,0.011,0.024,0.012,0.001,0.032,0.013,-1.528,0.001,-1.068,-0.424,-0.057,2.849,2,14.51,0.59,2,88.7,120,1,1,3,1,40.504192,-3.366992,1.289,87.5,2
65.73,87.5,40.503956,-3.367481,609.1,3,5,238,1.055,1,-0.02,0.031,0.011,-0.011,0.027,0.001,-1.527,-0.012,-1.092,-0.455,0.017,2.817,2,13.78,0.57,2,87.5,120,1,1,3,1,40.504192,-3.366992,1.289,87.5,2
66.7,86.8,40.503838,-3.367731,608.6,3,5,237.3,0.703,1,-0.034,0.015,0.042,-0.034,0.007,0.01,-1.53,-0.022,-1.121,-0.434,0.125,2.841,2,12.69,0.53,2,86.8,120,1,1,3,1,40.503956,-3.367482,1.315,86.3,2
67.78,86.3,40.503719,-3.367965,607.8,3,5,238,0.703,1,0.021,-0.043,-0.006,0,-0.05,-0.007,-1.526,0.023,-1.123,-0.202,0.148,2.816,2,11.53,0.48,2,86.3,120,1,1,3,1,40.503956,-3.367482,1.315,86.3,2
68.7,86.3,40.503605,-3.368204,607.5,3,5,238,0.703,1,-0.038,-0.011,-0.004,-0.026,-0.001,0.002,-1.524,0.02,-1.126,-0.283,0.124,2.767,2,10.43,0.44,2,86.3,120,1,1,3,1,40.503719,-3.367965,1.155,84.1,2
69.74,84.1,40.503487,-3.368434,608.2,3,5,237,1.055,1,-0.058,0.032,0.021,-0.039,0.023,0.002,-1.527,0.002,-1.141,-0.404,0.016,2.767,2,9.97,0.43,1,84.1,120,1,1,3,1,40.503719,-3.367965,1.155,84.1,2
70.7,82.9,40.503368,-3.36866,607.1,3,5,237,1.055,1,-0.003,0.031,-0.015,-0.008,0.032,-0.006,-1.529,-0.009,-1.162,-0.374,0.052,2.666,2,8.93,0.39,3,82.9,120,1,1,3,1,40.503487,-3.368434,1.546,82.4,2
71.7,82.4,40.503254,-3.368891,606.7,3,5,237.7,0.703,1,-0.001,-0.016,-0.034,-0.004,-0.012,-0.026,-1.516,-0.001,-1.173,-0.515,0.09,2.915,2,7.6,0.33,3,82.4,120,1,1,3,1,40.503487,-3.368434,1.546,82.4,2
72.79,81,40.503147,-3.369122,606.3,3,5,237.7,0.703,1,-0.01,0.01,0.02,-0.01,-0.003,0.016,-1.499,0.011,-1.177,-0.737,-0.108,3.939,2,-1,-1,4,81,120,1,1,3,1,40.503254,-3.368891,1.563,77.9,2
73.7,77.9,40.503044,-3.369342,605.8,3,5,237.3,0.352,1,-0.025,-0.021,0.076,-0.009,-0.011,0.077,-1.54,0,-1.186,-0.081,-0.129,2.769,1,-1,-1,4,77.9,120,1,1,3,1,40.503254,-3.368891,1.563,77.9,2
74.7,76.6,40.502941,-3.369558,607.6,3,5,238.4,1.055,1,-0.043,-0.031,0.07,-0.023,-0.027,0.073,-1.603,0.011,-1.191,-0.02,-0.021,2.82,2,-1,-1,4,76.6,120,1,1,3,1,40.503044,-3.369343,1.057,76.6,2
75.81,83.8,40.502731,-3.370005,606.2,3,5,236.6,1.055,1,-0.026,-0.02,0.025,-0.016,-0.026,0.025,-1.634,0.029,-1.183,-0.03,-0.105,2.845,2,-1,-1,5,80.4,120,1,1,3,1,40.502838,-3.369779,1.15,86.6,2
76.71,83.8,40.502731,-3.370005,606.2,3,5,236.6,1.758,1,-0.047,-0.026,0,-0.024,-0.017,0.006,-1.637,0.024,-1.182,-0.333,-0.072,2.798,2,-1,-1,3,83.8,120,1,1,3,1,40.502838,-3.369779,1.15,86.6,2
77.71,86.6,40.502613,-3.370238,606.3,3,5,236.2,1.055,1,-0.012,0.031,0.001,-0.024,0.035,0.001,-1.636,-0.006,-1.196,-0.848,-0.078,2.733,2,-1,-1,3,86.6,120,1,1,3,1,40.502838,-3.369779,1.15,86.6,2
78.71,89.3,40.502491,-3.370478,606.8,3,5,236.6,0.352,1,-0.04,-0.007,-0.027,-0.015,-0.002,-0.013,-1.628,-0.02,-1.217,-0.747,0.135,2.735,2,-1,-1,2,89.3,120,1,1,3,1,40.502613,-3.370239,1.412,91,2
79.71,91,40.502361,-3.370725,606.7,3,5,237.7,1.406,1,0.004,-0.004,-0.011,0.001,-0.007,-0.008,-1.625,-0.012,-1.226,-0.556,0.152,2.731,2,-1,-1,1,91,120,1,1,3,1,40.502613,-3.370239,1.412,91,2
80.71,93.5,40.502235,-3.370985,607.2,3,5,238.4,1.758,1,-0.022,-0.008,-0.018,-0.013,0.003,-0.011,-1.619,0.022,-1.218,-0.364,0.064,2.802,2,-1,-1,2,93.5,120,1,1,3,1,40.502361,-3.370725,1.247,96.2,2
81.74,96.2,40.502113,-3.371237,607.7,3,5,237.3,1.055,1,-0.055,-0.019,0.053,-0.044,-0.044,0.01,-1.613,0.035,-1.21,-0.374,0.041,2.827,2,-1,-1,2,96.2,120,1,1,3,1,40.502361,-3.370725,1.247,96.2,2
82.81,99,40.501846,-3.371775,607.6,3,5,236.6,1.406,1,0.016,0.016,-0.015,0.013,0.014,-0.006,-1.602,0.013,-1.21,-0.657,0.038,2.845,2,-1,-1,1,97.7,120,1,1,3,1,40.502113,-3.371237,0.884,97.7,2
83.76,99,40.501846,-3.371775,607.6,3,5,236.6,0.703,1,0.044,0.022,-0.028,0.02,-0.003,-0.014,-1.588,0.021,-1.208,-1.02,-0.03,2.865,2,-1,-1,1,99,120,1,1,3,1,40.50198,-3.371504,0.619,99,2
84.71,100.1,40.501709,-3.37205,607.2,3,5,236.6,0.352,1,-0.04,0.011,-0.001,-0.035,0.021,-0.017,-1.577,0.019,-1.208,0,0,3.016,0,22.63,0.81,1,100.1,120,1,1,3,2,40.501846,-3.371776,0.847,100.1,2
85.71,100.6,40.501572,-3.372328,607.6,3,5,236.2,0.352,1,-0.017,0.016,-0.013,-0.001,0.014,-0.006,-1.573,0.012,-1.212,0,0,3.008,0,23.87,0.85,1,100.6,120,1,1,3,2,40.501709,-3.37205,0.956,100.6,2
86.71,100.7,40.501427,-3.372597,606.7,3,5,236.2,0.352,1,-0.037,0.014,0.009,-0.021,0.001,0.014,-1.588,0.016,-1.216,0,0,3.002,0,23.93,0.86,1,100.7,120,1,1,3,2,40.501572,-3.372328,0.879,100.7,2
87.71,101.4,40.501293,-3.372869,606.9,3,5,236.2,0,1,-0.047,0.017,-0.001,-0.029,0.012,-0.002,-1.593,0.019,-1.218,0,0,2.995,0,24.48,0.87,1,101.4,120,1,1,3,2,40.501427,-3.372598,0.916,101.4,2
88.71,102.9,40.501152,-3.373152,606.7,3,5,236.2,0,1,-0.012,0.038,0.007,-0.01,0.027,0.007,-1.595,0.002,-1.225,0,-0.035,2.98,2,24.16,0.84,1,102.9,120,1,1,3,2,40.501293,-3.37287,0.85,102.9,2
89.82,104.8,40.500862,-3.373724,606.3,3,5,237.3,0.352,1,-0.052,0.006,-0.029,-0.003,0.007,-0.031,-1.59,-0.014,-1.243,-0.111,-0.009,2.967,2,24.66,0.85,1,104.3,120,1,1,3,2,40.501152,-3.373152,0.866,104.3,2
90.76,104.8,40.500862,-3.373724,606.3,3,5,237.3,1.055,1,-0.001,-0.052,-0.028,-0.005,-0.055,-0.017,-1.577,0,-1.242,-0.081,0.023,2.99,2,24.75,0.85,1,104.8,120,1,1,3,2,40.501003,-3.373435,1.529,104.7,2
91.71,104.7,40.500717,-3.374007,606.3,3,5,237.3,0.703,1,-0.015,-0.005,0.01,-0.012,-0.022,0.002,-1.574,0.019,-1.235,-0.071,0.024,2.943,1,25.41,0.87,1,104.7,120,1,1,3,2,40.501003,-3.373435,1.529,104.7,2
92.73,105.3,40.500576,-3.374297,606.3,3,5,236.6,0.703,1,-0.025,-0.016,0,-0.007,0.004,0.001,-1.577,0.018,-1.235,-0.212,0.011,2.917,2,24.69,0.84,1,105.3,120,1,1,3,2,40.500717,-3.374007,1.022,105.3,2
93.7,105.9,40.500435,-3.374582,606.3,3,5,236.6,0.703,1,-0.046,0.049,-0.004,-0.04,0.045,-0.004,-1.583,0.013,-1.235,-0.414,-0.009,2.98,2,25.65,0.87,1,105.9,120,1,1,3,2,40.500717,-3.374007,1.022,105.3,2
94.76,106.8,40.500286,-3.374876,606,3,5,236.6,0,1,-0.04,0.035,-0.006,-0.024,0.036,-0.005,-1.583,-0.002,-1.24,-0.485,0.063,2.976,2,24.48,0.83,1,106.8,120,1,1,3,2,40.500435,-3.374583,2.372,108,2
95.72,107.8,40.500137,-3.375174,606,3,5,236.6,0,1,-0.011,-0.007,-0.007,-0.011,-0.008,0,-1.576,-0.003,-1.244,-0.394,0.057,2.955,1,24.45,0.82,1,107.8,120,1,1,3,2,40.500435,-3.374583,2.372,108,2
96.72,108,40.499989,-3.37547,606.3,3,5,237,0.352,1,-0.005,-0.017,-0.022,-0.016,-0.006,-0.022,-1.563,-0.002,-1.245,-0.212,0.085,3.001,2,23.28,0.78,1,108,120,1,1,3,2,40.500435,-3.374583,2.372,108,2
97.73,108.5,40.499847,-3.375766,605.9,3,5,236.6,0.352,1,-0.008,-0.006,-0.022,0.004,-0.003,-0.028,-1.537,-0.008,-1.248,0.091,0.061,3.006,2,22.37,0.74,1,108.5,120,1,1,3,2,40.499989,-3.37547,2.171,107,2
98.71,107,40.499699,-3.376065,605.4,3,5,237,0.352,1,-0.019,0.018,-0.02,-0.024,-0.01,-0.02,-1.525,0.009,-1.24,0.333,0.049,2.992,2,22.7,0.76,1,107,120,1,1,3,2,40.499989,-3.37547,2.171,107,2
99.72,105.2,40.499554,-3.376358,605,3,5,237,0.352,1,-0.043,-0.001,0.005,-0.041,0.008,0.001,-1.52,-0.005,-1.244,0.616,0.037,3.012,1,22.53,0.77,1,105.2,120,1,1,3,2,40.499989,-3.37547,2.171,107,2
100.72,103.9,40.499413,-3.376643,604.5,3,5,237,0,1,0,-0.002,0.01,-0.014,-0.004,0.011,-1.523,0,-1.241,0.788,0,3.013,2,22.19,0.77,1,103.9,120,1,1,3,2,40.499554,-3.376358,2.019,102.7,2
101.72,102.7,40.499275,-3.376936,604.1,3,5,236.6,0.352,1,-0.032,0.005,0.038,-0.026,0.002,0.039,-1.539,0.005,-1.237,0.889,-0.002,2.978,2,22.91,0.8,1,102.7,120,1,1,3,2,40.499554,-3.376358,2.019,102.7,2
102.73,102.1,40.499134,-3.377216,603.2,3,5,236.2,0.703,1,-0.014,0.028,0.03,-0.011,0.012,0.031,-1.569,0.016,-1.237,0.919,-0.013,2.99,1,22.39,0.79,1,102.1,120,1,1,3,2,40.499554,-3.376358,2.019,102.7,2
103.73,103.3,40.498993,-3.377494,602.9,3,5,236.6,0.352,1,-0.02,-0.02,-0.011,-0.036,-0.02,0,-1.576,0.005,-1.239,0.929,-0.006,3.047,2,22.95,0.8,1,103.3,120,1,1,3,2,40.499134,-3.377216,2.274,105.2,2
104.82,105.2,40.498699,-3.378071,602.8,3,5,234.5,0.703,1,0.026,0.031,0.012,0.032,0.02,0.021,-1.582,0.02,-1.23,0.889,0.011,3.016,2,22.8,0.79,1,104.3,120,1,1,3,2,40.499134,-3.377216,2.274,105.2,2
105.72,105.2,40.498699,-3.378071,602.8,3,5,234.5,2.461,1,0.031,0.011,0.021,0.02,0.016,0.018,-1.598,0.006,-1.237,0.768,-0.026,2.909,2,22.63,0.77,1,105.2,120,1,1,3,2,40.499134,-3.377216,2.274,105.2,2
106.7,105.9,40.49855,-3.378358,602.5,3,5,236.2,1.758,1,-0.003,0.018,-0.004,-0.02,0.009,-0.001,-1.594,-0.008,-1.245,0.828,-0.01,2.97,2,22.11,0.75,1,105.9,120,1,1,3,2,40.498699,-3.378072,0.949,105.9,2
107.7,107.4,40.498409,-3.378652,602.3,3,5,236.6,2.109,1,-0.006,-0.056,0.003,-0.009,-0.058,-0.008,-1.586,0.009,-1.239,0.96,0.015,2.956,2,23,0.77,1,107.4,120,1,1,3,2,40.49855,-3.378358,1.417,108.4,2
108.7,108.4,40.498257,-3.378941,602.9,3,5,236.2,0.352,1,0.002,-0.021,-0.059,-0.008,-0.02,-0.026,-1.576,0.029,-1.224,0.697,-0.047,3,2,22.26,0.74,1,108.4,120,1,1,3,2,40.49855,-3.378358,1.417,108.4,2
109.72,109,40.498112,-3.379243,603.1,3,5,235.2,1.406,1,-0.012,0.033,-0.029,-0.006,0.021,-0.022,-1.554,0.016,-1.224,0.384,-0.055,2.989,1,22.16,0.73,1,109,120,1,1,3,2,40.498257,-3.378941,0.829,109,2
110.76,108,40.497959,-3.379532,602.7,3,5,235.2,1.055,1,0,0.03,-0.005,-0.025,0.024,-0.006,-1.539,-0.008,-1.234,-0.131,-0.073,3,1,22.28,0.74,1,108,120,1,1,3,2,40.498112,-3.379243,1.265,107.1,2
111.76,107.1,40.497814,-3.379822,602.2,3,5,235.5,0.352,1,-0.028,-0.036,-0.003,-0.033,-0.022,-0.001,-1.536,-0.004,-1.238,-0.343,0.013,2.989,2,22.13,0.74,1,107.1,120,1,1,3,2,40.497814,-3.379822,0.785,106.1,2
112.8,105.5,40.497517,-3.380405,601.8,3,5,235.5,1.055,1,-0.003,-0.013,0.012,-0.006,-0.013,0.018,-1.542,0.013,-1.234,-0.566,-0.005,2.99,2,22.05,0.75,1,106.1,120,1,1,3,2,40.497814,-3.379822,0.785,106.1,2
113.73,105.5,40.497517,-3.380405,601.8,3,5,235.5,0.703,1,-0.008,0.008,-0.003,-0.006,0.007,0.011,-1.549,0.01,-1.235,-0.808,0.008,2.966,2,21.68,0.74,1,105.5,120,1,1,3,2,40.497662,-3.380116,1.012,105.5,2
114.72,105.5,40.497372,-3.380693,601.8,3,5,235.5,0.703,1,0.002,0.034,-0.007,-0.027,0.036,0.007,-1.558,-0.014,-1.249,-0.879,0.067,3.028,2,22.17,0.76,1,105.5,120,1,1,3,2,40.497372,-3.380693,0.972,104.7,2
115.74,104.7,40.497219,-3.380976,601.5,3,5,236.2,0.703,1,-0.036,0.01,-0.002,-0.021,-0.001,0.002,-1.56,-0.015,-1.255,-0.717,0.074,2.996,2,22.66,0.78,1,104.7,120,1,1,3,2,40.497372,-3.380693,0.972,104.7,2
116.73,105.7,40.497074,-3.381262,601.6,3,5,236.6,1.055,1,-0.013,-0.002,-0.019,-0.03,-0.005,-0.013,-1.556,0.001,-1.256,-0.465,0.074,2.995,2,23.19,0.79,1,105.7,120,1,1,3,2,40.497219,-3.380976,2.002,105.6,2
117.71,105.6,40.496922,-3.38155,601.4,3,5,237,0.703,1,0.04,-0.008,0.007,-0.004,-0.009,0.005,-1.545,0.015,-1.251,-0.232,0.067,3.049,1,23.76,0.81,1,105.6,120,1,1,3,2,40.497219,-3.380976,2.002,105.6,2
118.73,104.6,40.49678,-3.381834,601.7,3,5,236.6,0.352,1,-0.005,0.01,-0.01,-0.015,-0.003,-0.009,-1.54,0.027,-1.244,-0.091,0.058,2.965,2,23.81,0.82,1,104.6,120,1,1,3,2,40.49678,-3.381835,0.969,103.4,2
119.7,103.4,40.496632,-3.382119,601.1,3,5,236.2,0.703,1,0,-0.018,0.005,-0.013,-0.018,-0.002,-1.531,0.025,-1.236,-0.212,0.005,3.007,2,24.23,0.84,1,103.4,120,1,1,3,2,40.49678,-3.381835,0.969,103.4,2
120.7,102,40.496487,-3.382392,600.5,3,5,235.5,1.055,1,-0.041,-0.017,-0.002,-0.031,-0.021,0,-1.527,0.024,-1.227,-0.333,0.003,2.96,1,24.84,0.88,1,102,120,1,1,3,2,40.496632,-3.382119,1.386,100.8,2
121.74,100.8,40.496342,-3.382668,601.1,3,5,235.2,1.055,1,0.001,0.014,0.045,-0.021,0.009,0.035,-1.553,0.027,-1.22,-0.545,0.017,2.953,2,26.58,0.95,1,100.8,120,1,1,3,2,40.496632,-3.382119,1.386,100.8,2
122.75,100.3,40.496201,-3.382937,601.2,3,5,234.5,1.055,1,-0.021,0.002,0.018,-0.027,0.009,0.016,-1.582,0.013,-1.218,-0.727,-0.019,3.011,2,27.55,0.99,2,100.3,120,1,1,3,2,40.496342,-3.382669,0.925,100.3,2
123.73,101.4,40.496052,-3.383209,600.3,3,5,234.5,0.703,1,0.005,-0.017,0.028,0.005,-0.004,0.044,-1.61,0,-1.217,-0.889,0.055,2.921,1,27.06,0.96,2,101.4,120,1,1,3,2,40.496201,-3.382938,0.749,101.4,2
124.7,103.1,40.495903,-3.383482,600.7,3,5,234.1,0.352,1,-0.039,0.014,0.004,-0.016,0.004,-0.009,-1.615,0.012,-1.214,-0.97,0.051,2.944,2,27.44,0.96,2,103.1,120,1,1,3,2,40.496052,-3.383209,0.766,103.1,2
125.7,104.9,40.49575,-3.383763,600.7,3,5,234.1,0.352,1,0.032,0.032,0.01,0.016,0.03,0.015,-1.621,0.009,-1.222,-1.081,0.046,2.988,2,26.95,0.92,2,104.9,120,1,1,3,2,40.495903,-3.383482,1.206,106.8,2
126.71,106.8,40.495594,-3.384051,600.8,3,5,234.1,0,1,-0.005,-0.017,-0.008,-0.001,-0.009,-0.002,-1.624,0,-1.231,-0.747,0.137,2.986,2,26.92,0.91,2,106.8,120,1,1,3,2,40.495903,-3.383482,1.206,106.8,2
127.71,108.7,40.495434,-3.384337,601,3,5,234.5,0.352,1,-0.009,-0.044,0.006,-0.012,-0.05,-0.002,-1.617,0.035,-1.219,-0.263,0.077,2.957,1,28.22,0.93,2,108.7,120,1,1,3,2,40.495903,-3.383482,1.206,106.8,2
128.7,108.7,40.495274,-3.384627,601.3,3,5,234.5,0.352,1,-0.071,-0.01,-0.044,-0.023,-0.023,-0.034,-1.595,0.055,-1.203,-0.273,0.08,3.002,2,29.13,0.96,2,108.7,120,1,1,3,2,40.495594,-3.384051,3.392,110.2,2
129.7,110.3,40.495106,-3.384914,601.2,3,5,232.7,1.758,1,0.028,0.029,-0.011,0.019,0.021,-0.004,-1.572,0.049,-1.195,-0.475,0.053,2.967,2,29.96,0.98,2,110.3,120,1,1,3,2,40.495594,-3.384051,3.392,110.2,2
130.7,110.2,40.494938,-3.385202,601.6,3,5,232.7,1.758,1,-0.062,0.044,0.018,-0.024,0.046,-0.003,-1.571,0.011,-1.204,-0.596,0.045,2.908,2,30.72,1,2,110.2,120,1,1,3,2,40.495594,-3.384051,3.392,110.2,2
131.7,110.2,40.494762,-3.385481,601.2,3,5,232.4,0.352,1,-0.015,-0.058,-0.014,-0.024,-0.059,-0.021,-1.55,0.035,-1.2,-0.455,0.043,2.955,2,30.87,1.01,2,110.2,120,1,1,3,2,40.494938,-3.385202,1.142,109.6,2
132.72,109.6,40.494595,-3.385759,601.6,3,5,231.3,1.406,1,-0.036,-0.012,0.004,-0.021,-0.008,-0.002,-1.533,0.056,-1.185,-0.596,0.03,2.947,2,31.09,1.02,2,109.6,120,1,1,3,2,40.494595,-3.385759,0.889,107.7,2
133.73,107.7,40.494431,-3.386045,601.3,3,5,231,1.406,1,0.022,0.073,0.031,0.01,0.041,0.025,-1.54,0.039,-1.186,-0.939,0.024,2.95,2,30.03,1,2,107.7,120,1,1,3,2,40.494595,-3.385759,0.889,107.7,2
134.72,107.1,40.494263,-3.386307,600.8,3,5,230.3,1.055,1,0.007,0.023,0.022,0.006,0.029,0.033,-1.576,-0.009,-1.204,-0.848,0.131,2.984,2,29.41,0.99,1,107.1,120,1,1,3,2,40.494431,-3.386045,1.045,107.1,2
135.71,108.2,40.494087,-3.386573,600.8,3,5,231.3,1.055,1,0.014,-0.018,-0.028,0.02,-0.012,-0.015,-1.583,0.007,-1.205,-0.444,0.114,2.96,2,27.11,0.9,1,108.2,120,1,1,3,2,40.494431,-3.386045,1.045,107.1,2
136.75,109.1,40.493919,-3.386858,601.2,3,5,231.3,1.055,1,-0.043,0.008,-0.026,-0.027,0.002,-0.024,-1.549,0.016,-1.203,-0.152,0.102,3.138,1,27.27,0.9,1,109.1,120,1,1,3,2,40.494087,-3.386574,1.726,107.9,2
137.81,107,40.493584,-3.38741,601,3,5,230.3,0.352,1,-0.026,-0.026,-0.006,-0.013,-0.037,-0.013,-1.536,0.044,-1.19,-0.03,0.162,3.177,2,25.9,0.86,1,107.9,120,1,1,3,2,40.494087,-3.386574,1.726,107.9,2
138.71,107,40.493584,-3.38741,601,3,5,230.3,1.055,1,-0.015,0.058,0.022,-0.036,0.058,0.019,-1.545,0.024,-1.188,0.212,0.097,3.085,2,25.54,0.86,1,107,120,1,1,3,2,40.493748,-3.387138,1.613,106.2,2
139.72,106.2,40.493416,-3.387686,600.7,3,5,229.6,1.406,1,-0.012,-0.021,0.027,-0.021,-0.012,0.02,-1.562,0.016,-1.19,0.404,0.037,2.92,2,24.65,0.84,1,106.2,120,1,1,3,2,40.493748,-3.387138,1.613,106.2,2
140.71,106.7,40.49324,-3.387953,600.5,3,5,229.6,0.703,1,-0.011,-0.01,0.004,-0.017,-0.01,0.014,-1.575,0.04,-1.176,0.606,0.045,2.925,2,23.58,0.8,1,106.7,120,1,1,3,2,40.493416,-3.387686,1.597,107.3,2
141.71,107.3,40.493061,-3.388218,600.6,3,5,228.9,0.703,1,0.054,0.009,0.018,0.021,0.018,0.013,-1.584,0.028,-1.173,0.576,0.02,2.876,2,22.1,0.74,1,107.3,120,1,1,3,2,40.493416,-3.387686,1.597,107.3,2
142.7,108,40.492889,-3.388479,600.7,3,5,229.2,0.352,1,-0.037,0.008,-0.023,-0.036,0.006,-0.015,-1.572,0.016,-1.178,0.737,0.066,2.891,2,22.17,0.74,1,108,120,1,1,3,2,40.493061,-3.388219,1.404,108.3,2
143.73,108.3,40.492706,-3.388748,600.4,3,5,228.2,1.055,1,-0.02,-0.021,-0.015,-0.015,-0.036,-0.013,-1.562,0.035,-1.173,0.939,0.022,2.853,2,21.83,0.73,1,108.3,120,1,1,3,2,40.493061,-3.388219,1.404,108.3,2
144.73,108.3,40.492523,-3.389015,600.3,3,5,227.8,1.406,1,-0.038,-0.013,0.014,-0.009,-0.002,0.006,-1.561,0.054,-1.158,0.889,-0.039,2.817,1,21.08,0.7,2,108.3,120,1,1,3,2,40.492706,-3.388748,1.788,107.8,2
145.83,108.1,40.492153,-3.38953,600,3,5,226.1,1.406,1,-0.004,0.002,-0.008,-0.024,0.01,-0.009,-1.564,0.052,-1.147,0.505,-0.08,2.868,2,29.34,0.98,3,107.8,120,1,1,3,2,40.492706,-3.388748,1.788,107.8,2
146.72,108.1,40.492153,-3.38953,600,3,5,226.1,1.758,1,0.003,0.028,-0.011,0.002,0.028,-0.009,-1.555,0.03,-1.15,0.212,-0.028,2.925,2,28.44,0.95,3,108.1,120,1,1,3,2,40.49234,-3.389275,1.531,105,2
147.71,105,40.49197,-3.389784,600,3,5,226.1,0.703,1,-0.038,0.008,-0.005,-0.034,0.012,-0.01,-1.542,0.007,-1.16,-0.263,0.009,2.974,2,28.06,0.96,3,105,120,1,1,3,2,40.49234,-3.389275,1.531,105,2
148.78,106.3,40.491783,-3.390034,600.2,3,5,226.1,0,1,-0.054,0.014,0.007,-0.037,0.011,-0.007,-1.536,-0.001,-1.17,-0.222,0.04,2.996,2,27.7,0.94,3,106.3,120,1,1,3,2,40.49197,-3.389785,1.054,106.3,2
149.78,105.1,40.491421,-3.390539,599.5,3,5,226.4,0.352,1,-0.011,-0.041,-0.008,0.003,-0.042,-0.004,-1.534,0.013,-1.173,-0.101,0.061,2.924,2,27.97,0.95,3,105.9,120,1,1,3,2,40.491604,-3.390287,0.779,105.1,2
150.71,105.1,40.491421,-3.390539,599.5,3,5,226.4,0.352,1,-0.009,-0.018,-0.005,-0.012,-0.023,-0.003,-1.538,0.037,-1.165,-0.313,0.011,2.91,2,26.89,0.92,3,105.1,120,1,1,3,2,40.491604,-3.390287,0.779,105.1,2
151.73,104.2,40.491234,-3.390784,599.3,3,5,225.4,1.055,1,-0.022,0.057,0.007,-0.022,0.054,0.01,-1.55,0.021,-1.162,-0.505,0.074,2.907,1,25.55,0.88,3,104.2,120,1,1,3,2,40.491421,-3.390539,1.004,104.2,2
152.75,104,40.491051,-3.391032,599.1,3,5,225.4,1.055,1,-0.018,0.037,0.024,-0.018,0.019,0.025,-1.583,-0.017,-1.183,-0.727,0.077,3.043,2,25.07,0.87,3,104,120,1,1,3,2,40.491051,-3.391032,0.693,105.4,2
153.73,105.4,40.490864,-3.391282,598.6,3,5,226.1,0.703,1,0.009,-0.001,-0.013,-0.002,0.007,-0.008,-1.599,-0.018,-1.197,-0.717,0.185,2.883,2,23.87,0.82,3,105.4,120,1,1,3,2,40.491051,-3.391032,0.693,105.4,2
154.83,106.7,40.490498,-3.391799,598.6,3,5,226.4,1.758,1,0.005,-0.035,-0.031,-0.007,-0.04,-0.034,-1.571,0.015,-1.194,-0.354,0.104,2.975,2,23.64,0.8,2,106.8,120,1,1,3,2,40.490864,-3.391282,1.385,106.7,2
155.75,106.7,40.490498,-3.391799,598.6,3,5,226.4,0.703,1,-0.005,-0.007,-0.014,-0.015,0.007,-0.013,-1.551,0.007,-1.195,-0.212,0.064,2.968,1,23.24,0.78,2,106.7,120,1,1,3,2,40.490498,-3.391799,0.629,105.7,2
